소재지,Latitude,Longitude,도로명,주택유형,건축년도,건축구조,전용면적,건축면적,연면적,대지면적
부산광역시 해운대구 우동 374-1,35.1688334,129.1551274,우동1로85번길 28-13,단독주택,1969,벽돌구조,,36.69,36.69,116
부산광역시 해운대구 우동 1087-58,35.1691772,129.1399929,해운대로391번길 11-10,단독주택,1985,블록구조,,12.495,12.495,13
부산광역시 해운대구 중동 1333-2,35.1687827,129.1688124,좌동순환로8번길 45-8,단독주택,1975,블록구조,,65.94,65.94,126
부산광역시 해운대구 우동 1087-41,35.1693185,129.1398297,해운대로391번길 11-34,단독주택,1971,블록구조,,34.71,34.71,46
부산광역시 해운대구 우동 241-12,35.1690291,129.1607538,우동2로32번길 55-4,다가구주택,1991,벽돌구조,,69.2,130.58,116
부산광역시 해운대구 우동 391-29,35.1692714,129.1572158,우동2로60번길 17,다가구주택,1994,철근콘크리트구조,,116.52,286.4,588
부산광역시 해운대구 우동 251-5,35.169244,129.1611688,우동2로30번길 69-5,단독주택,1969,블록구조,,49.59,49.59,136
부산광역시 해운대구 우동 210-21,35.169242,129.1615885,우동3로11번가길 21,단독주택,1979,블록구조,,64.72,64.72,132
부산광역시 해운대구 우동 251-13,35.1692846,129.1609527,우동2로30번길 77-6,다세대,1997,기타조적구조,54.24,80.75,195.36,155
부산광역시 해운대구 우동 267-20,35.1695961,129.1630524,우동3로11번길 30-13,단독주택,1982,블록구조,,72.83,72.83,126
부산광역시 해운대구 우동 258-2,35.169709,129.1614788,우동3로11번가길 36,단독주택,1978,블록구조,,56.62,56.62,101
부산광역시 해운대구 우동 264-1,35.1698403,129.1619727,우동3로11번가길 51,단독주택,1973,블록구조,,62.99,111.05,136
부산광역시 해운대구 우동 265-17,35.1703911,129.1615512,우동2로30번길 106,다가구주택,1988,벽돌구조,,112.27,198.91,296
부산광역시 해운대구 우동 1214-11,35.1720298,129.1337223,해운대로 327,단독주택,1980,블록구조,,49.59,49.59,70
부산광역시 해운대구 우동 1215-8,35.1720747,129.1338453,해운대로 329-3,단독주택,1977,블록구조,,50.98,75.61,109
부산광역시 해운대구 우동 1215-14,35.1720938,129.1340243,해운대로 329-5,단독주택,1975,벽돌구조,,65.97,98.03,126
부산광역시 해운대구 우동 1207-8,35.1735636,129.1330698,해운대로295번길 50,단독주택,1975,블록구조,,51.13,51.13,238
부산광역시 해운대구 우동 1209-1,35.1736774,129.1336738,해운대로295번길 67-13,단독주택,1979,블록구조,,62.11,62.11,110
부산광역시 해운대구 우동 1206,35.1737976,129.1324067,해운대로295번가길 12-3,단독주택,1978,블록구조,,69.87,105.27,142
부산광역시 해운대구 우동 1209-39,35.1738233,129.133776,해운대로295번길 49-12,다가구주택,1989,벽돌구조,,65.49,122.67,114
부산광역시 해운대구 우동 1204-6,35.1739738,129.1332684,해운대로295번길 43-3,단독주택,1978,시멘트블럭조,,0,128.27,177
부산광역시 해운대구 우동 1202-8,35.1742052,129.1335026,해운대로295번길 31-4,연립,1979,블록구조,46.91,333.54,737.23,609
부산광역시 해운대구 우동 1200-7,35.1745335,129.1327532,해운대로295번길 21,단독주택,1974,블록구조,,50.57,50.57,76
부산광역시 해운대구 우동 1200-3,35.1746658,129.13264,해운대로295번길 17-1,단독주택,1993,기타조적구조,,65.1,120.3,109
부산광역시 해운대구 우동 1108-28,35.1759012,129.1411361,해운대로383번길 162-5,단독주택,1985,블록구조,,39,39,76
부산광역시 해운대구 재송동 557-4,35.1808523,129.125351,해운대로 197-27,단독주택,1977,블록구조,,50.93,50.93,99
부산광역시 해운대구 재송동 548,35.1816933,129.1251681,해운대로191번길 27,단독주택,1981,벽돌구조,,104.46,136.89,320
부산광역시 해운대구 재송동 546-5,35.1818053,129.1253624,해운대로191번길 31-4,단독주택,1977,블록구조,,60.2,60.2,103
부산광역시 해운대구 재송동 546-6,35.1818747,129.1254413,해운대로191번길 33,단독주택,1977,블록구조,,63.2,63.2,119
부산광역시 해운대구 송정동 159-16,35.1806988,129.1994881,송정중앙로6번길 76,단독주택,1978,블록구조,,72.11,72.11,141
부산광역시 해운대구 재송동 422,35.1821214,129.1245843,재반로11번길 68-5,단독주택,1984,블록구조,,44.81,44.81,63
부산광역시 해운대구 재송동 421,35.1822525,129.1246875,재반로11번길 68-7,단독주택,1975,블록구조,,35.29,35.29,278
부산광역시 해운대구 재송동 530-1,35.1822189,129.125716,재반로27번길 30-5,단독주택,1973,블록구조,,41.32,41.32,112
부산광역시 해운대구 송정동 299-16,35.1816473,129.2012513,송정중앙로8번길 51-13,단독주택,1970,블록구조,,41.98,41.98,162
부산광역시 해운대구 재송동 491-3,35.1832937,129.1260196,재반로 49-26,단독주택,1985,블록구조,,36,36,60
부산광역시 해운대구 송정동 194-5,35.1838668,129.2049546,송정중앙로33번길 35,다가구주택,1991,벽돌구조,,93.06,164.88,156
부산광역시 해운대구 재송동 151-3,35.1852603,129.1278986,재반로64번길 36-6,다가구주택,1989,벽돌구조,,78.35,131.97,135
부산광역시 해운대구 재송동 1119-40,35.1861444,129.1265418,재반로64번가길 32-1,단독주택,1988,벽돌구조,,109.44,196.71,217.1
부산광역시 해운대구 송정동 192-1,35.1849358,129.2037937,송정중앙로15번길 42,다세대,1980,블록구조,62.38,184.79,444.39,665.5
부산광역시 해운대구 송정동 192-1,35.1849358,129.2037937,송정중앙로15번길 42,다세대,1980,블록구조,62.38,184.79,444.39,665.5
부산광역시 해운대구 재송동 1123-18,35.1873985,129.1290753,재반로84번길 76-8,다세대,1996,철근콘크리트구조,37.09,99.28,460.97,180.3
부산광역시 해운대구 재송동 1123-18,35.1873985,129.1290753,재반로84번길 76-8,다세대,1996,철근콘크리트구조,42.82,99.28,460.97,180.3
부산광역시 해운대구 재송동 1074-2,35.1875432,129.12199,재송1로20번길 5,다가구주택,1985,벽돌구조,,81.24,143.97,139.6
부산광역시 해운대구 재송동 900-94,35.1876273,129.1187842,해운대로108번길 39,단독주택,1973,블록구조,,44.63,44.63,137
부산광역시 해운대구 재송동 210-16,35.1880013,129.1224092,재송1로 27-1,단독주택,1996,기타조적구조,,98.61,161.45,167.9
부산광역시 해운대구 재송동 1060-15,35.1885325,129.1252911,재반로 109-28,다가구주택,1987,벽돌구조,,53.98,93.03,93.49
부산광역시 해운대구 재송동 939-9,35.1901738,129.1174849,해운대로76번길 48-9,단독주택,1976,벽돌구조,,70.08,70.08,145
부산광역시 해운대구 재송동 1159-5,35.1904034,129.132536,재송2로 196,연립,1993,철근콘크리트구조,106.23,334.88,1596.6,568.3
부산광역시 해운대구 재송동 1039-19,35.192151,129.125589,해운대로81번가길 38-16,단독주택,1991,철근콘크리트구조,,61.92,147.2,104.9
부산광역시 해운대구 재송동 1026-7,35.192529,129.1234395,해운대로61번가길 50,단독주택,1988,벽돌구조,,91.62,212.88,158
